,site,size
430,2661,12.75
431,2665,5.89
432,2666,5.89
433,2668,4.02
434,2669,9.81
435,2673,
436,2676,
437,2677,
438,2678,
439,2686,
440,2687,
441,2688,77.5
442,2689,
443,2690,
444,2696,11.52
445,2700,10.35
446,2701,
447,2702,3.92
448,2710,10.05
449,2711,7.65
450,2713,
451,2725,
452,2727,
453,2731,178.2
454,2744,
455,2745,
456,2748,133.2
457,2755,
458,2768,750.2
459,2799,
460,2805,
461,2808,
462,2809,
463,2810,
464,2813,
465,2819,
466,2830,2035.69
467,2846,
468,2854,10.46
469,2855,7.56
470,2856,6.54
471,2857,7.14
472,2858,6.12
473,2859,
474,2860,
475,2861,12.1
476,2879,
477,2883,
478,2886,14.74
479,2891,
480,2894,
481,2906,503.25
482,2945,89.28
483,2964,
484,2969,
485,2989,
486,2991,10.7
487,2997,12.73
488,2998,10.36
489,2999,11.77
490,3001,10.2
491,3002,
492,3004,10.2
493,3005,
494,3009,318.73
495,3022,14.56
496,3035,15
497,3053,
498,3057,
499,3062,
500,3063,
501,3076,101.4
502,3079,
503,3083,
504,3086,
505,3088,
506,3090,151.25
507,3093,24.26
508,3095,135.3
509,3103,
510,3112,74.52
511,3113,194.7
512,3115,3515.4
513,3116,224.4
514,3117,99
515,3119,124.2
516,3120,
517,3124,
518,3125,99
519,3126,
520,3132,
521,3133,6478.81
522,3134,6374.5
523,3137,
524,3141,
525,3148,113.76
526,3149,386.1
527,3173,
528,3175,
529,3176,
530,3177,110.72
531,3187,
532,3206,
533,3226,
534,3227,283.03
535,3229,
536,3231,279.45
537,3233,223.56
538,3239,
539,3240,24.18
540,3242,
541,3252,
542,3254,31.86
543,3255,5
544,3256,5
545,3257,
546,3263,31.86
547,3264,31.86
548,3265,
549,3269,220.66
550,3274,82.8
551,3275,
552,3276,113.85
553,3284,122.4
554,3298,7.56
555,3302,18.9
556,3312,302.4
557,3324,
558,3330,86.63
559,3339,
560,3344,10.4
561,3347,108.29
562,3356,132.6
563,3358,195.25
564,3378,
565,3388,22.5
566,3394,12
567,3395,577.72
568,3399,
569,3400,
570,3411,590.7
571,3413,49.73
572,3421,52.52
573,3422,6
574,3423,
575,3424,
576,3425,
577,3426,6
578,3430,6
579,3434,54
580,3439,8.96
581,3452,54.34
582,3474,
583,3475,
584,3483,44.72
585,3489,54.08
586,3491,267.75
587,3497,8.46
588,3498,
589,3506,202.8
590,3513,
591,3514,309.12
592,3515,282
593,3516,
594,3517,100.8
595,3524,
596,3534,
597,3536,119.04
598,3543,13.07
599,3544,11.48
600,3545,13.77
601,3546,
602,3547,10.41
603,3549,10.79
604,3551,77.74
605,3552,44.59
606,3555,92.4
607,3558,167.4
608,3562,110.63
609,3577,302.4
610,3583,9.69
611,3585,42
612,3590,148.72
613,3593,
614,3598,45.43
615,3605,
616,3607,
617,3611,
618,3624,269.96
619,3630,368.28
620,3634,280.6
621,3635,
622,3639,
623,3642,40.32
624,3654,385.06
625,3655,390
626,3660,34.1
627,3664,52.08
628,3665,34.2
629,3668,
630,3673,
631,3680,145.86
632,3681,
633,3682,22.72
634,3691,
635,3693,
636,3698,
637,3699,
638,3706,
639,3707,
640,3717,
641,3718,
642,3736,
643,3749,59.52
644,3750,95.16
645,3751,160.65
646,3766,
647,3767,46.97
648,3771,296.77
649,3773,21.96
650,3774,
651,3776,
652,3778,57.46
653,3781,111.6
654,3790,409.2
655,3793,535.68
656,3798,
657,3800,74.48
658,3801,
659,3805,
660,3819,383.24
661,3821,2258.96
662,3843,
663,3844,43.4
664,3854,74.36
665,3855,25.2
666,3856,
667,3857,
668,3858,249.86
669,3859,113.4
670,3860,
671,3861,
672,3862,173.25
673,3864,
674,3866,1046.12
675,3868,62.48
676,3876,178.56
677,3881,64.8
678,3889,
679,3890,249.6
680,3891,
681,3901,
682,3913,11.16
683,3914,89.28
684,3925,
685,3926,
686,3927,
687,3928,
688,3929,145.08
689,3930,
690,3931,
691,3932,
692,3933,
693,3934,
694,3945,
695,3947,1004.4
696,3954,
697,3955,
698,3958,483.6
699,3959,
700,3962,310.6
701,3963,54.6
702,3968,
703,3970,113.84
704,3977,
705,3978,
706,3979,
707,3980,91.26
708,3986,
709,3988,60.84
710,3991,4.8
711,4025,
712,4027,
713,4031,33.55
714,4032,252.34
715,4033,
716,4034,109.2
717,4035,
718,4036,
719,4038,120.78
720,4040,15.39
721,4041,650
722,4042,
723,4047,24.71
724,4048,11.48
725,4057,
726,4059,11.16
727,4061,90.72
728,4065,145.7
729,4070,
730,4071,
731,4072,31.72
732,4074,
733,4076,
734,4077,
735,4078,
736,4082,28.35
737,4084,
738,4085,7.88
739,4089,
740,4092,489.6
741,4099,
742,4100,
743,4101,430.9
744,4102,
745,4106,99.23
746,4108,487.94
747,4112,
748,4115,
749,4117,113.4
750,4120,432
751,4121,658.8
752,4123,
753,4126,
754,4132,19.64
755,4133,
756,4134,
757,4135,25.25
758,4136,
759,4137,25.25
760,4138,
761,4139,25.25
762,4140,
763,4144,21.45
764,4148,
765,4150,24.26
766,4151,101.4
767,4155,54.9
768,4157,49.92
769,4160,94.64
770,4171,
771,4177,
772,4185,132.3
773,4187,
774,4190,24.26
775,4193,
776,4200,75.95
777,4201,
778,4207,148.8
779,4208,
780,4209,200.88
781,4210,
782,4212,51.84
783,4213,132.3
784,4217,29.76
785,4220,25.25
786,4221,111.51
787,4228,85.05
788,4229,
789,4234,237.15
790,4236,
791,4237,81.1
792,4244,100.44
793,4250,25.25
794,4251,77.47
795,4252,368.28
796,4261,
797,4262,
798,4263,
799,4264,
800,4266,10.71
801,4267,65.84
802,4268,
803,4269,23.87
804,4282,
805,4283,
806,4284,50.4
807,4291,
808,4295,
809,4296,6.24
810,4297,25.25
811,4298,
812,4299,
813,4301,9.77
814,4320,87.36
815,4322,96.14
816,4323,65.03
817,4324,
818,4326,130.41
819,4332,11.22
820,4334,64.79
821,4337,267.03
822,4341,72
823,4343,24.26
824,4344,
825,4345,
826,4346,
827,4348,91.08
828,4350,102.06
829,4351,
830,4353,
831,4355,993.51
832,4356,
833,4357,
834,4358,
835,4359,279.72
836,4360,
837,4361,167.4
838,4362,257.04
839,4363,100.48
840,4367,306.18
841,4368,204.12
842,4374,5.15
843,4378,400.2
844,4379,
845,4380,
846,4381,151.2
847,4382,56.7
848,4388,334.53
849,4389,87.42
850,4398,
851,4402,115.32
852,4407,
853,4408,24.26
854,4411,8.51
855,4412,
856,4413,8.32
857,4414,12.6
858,4416,23.94
859,4427,
860,4429,
861,4430,
862,4432,
863,4433,
864,4434,74.4
865,4438,239.04
866,4439,197.06
867,4440,
868,4441,
869,4442,9.92
870,4447,
871,4455,17.55
872,4471,
873,4472,212.04
874,4475,45.36
875,4478,218.7
876,4482,
877,4485,48.36
878,4486,
879,4488,50.4
880,4489,
881,4495,
882,4504,29.8
883,4509,97.44
884,4511,102.06
885,4514,530.1
886,4519,598.5
887,4526,20.46
888,4527,
889,4528,142.56
890,4530,
891,4531,262.74
892,4537,127.14
893,4538,9.92
894,4539,
895,4541,
896,4542,12.8
897,4546,
898,4547,526.5
899,4549,127.26
900,4550,450.45
901,4551,
902,4553,14.4
903,4554,329.62
904,4564,
905,4566,
906,4567,
907,4568,
908,4569,
909,4570,
910,4571,19.8
911,4572,912.87
912,4573,37.2
913,4575,47.58
914,4579,86.8
915,4582,1072.17
916,4587,365.18
917,4588,133.92
918,4590,186
919,4591,409.5
920,4593,
921,4595,
922,4598,261.44
923,4601,
924,4605,99.83
925,4610,22.32
926,4613,253.44
927,4614,151.2
928,4617,161.82
929,4618,663.3
930,4619,55.8
931,4623,97.34
932,4624,102.06
933,4626,54.6
934,4627,2.04
935,4628,150.26
936,4629,42.47
937,4630,137.94
938,4631,
939,4632,518.32
940,4633,50.4
941,4634,
942,4635,148.72
943,4640,
944,4642,
945,4644,446.16
946,4645,74.4
947,4647,265.2
948,4648,24.26
949,4649,
950,4650,78.12
951,4651,265.65
952,4652,170.78
953,4656,334.62
954,4658,345.6
955,4659,195.3
956,4660,35.34
957,4661,169.2
958,4664,159.51
959,4665,7.8
960,4675,
961,4678,22.95
962,4679,36.18
963,4680,118.96
964,4681,9.92
965,4682,9.92
966,4683,49.73
967,4686,114.4
968,4688,51.2
969,4689,60.16
970,4690,
971,4691,
972,4693,102.69
973,4697,211.68
974,4701,37.62
975,4703,151.2
976,4704,126.75
977,4705,72.77
978,4707,75.6
979,4713,41.44
980,4718,645.15
981,4720,645.15
982,4721,473.2
983,4723,413.85
984,4728,
985,4730,191.51
986,4731,1400.58
987,4737,108.5
988,4739,13.4
989,4740,
990,4741,
991,4743,
992,4744,
993,4747,
994,4750,
995,4752,
996,4753,
997,4754,
998,4760,
999,4763,
1000,4764,
1001,4766,
1002,4767,
1003,4772,
1004,4779,
1005,4780,
1006,4790,
1007,4791,
1008,4792,
1009,4793,
1010,4797,
1011,4798,
1012,4799,
1013,4800,
1014,4801,
1015,4802,
1016,4806,44.16
1017,4808,
1018,4812,
1019,4816,
1020,4817,
1021,4818,
1022,4819,
